"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\.mvn\wrapper\MavenWrapperDownloader.java","3","71","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","de.codecentric.boot.admin.client.registration","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-client\src\test\java\de\codecentric\boot\admin\client\registration\AbstractRegistrationClientTest.java","3","40","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.cloud.discovery","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server-cloud\src\test\java\de\codecentric\boot\admin\server\cloud\discovery\InstanceDiscoveryListenerTest.java","4","71","Unnecessary qualifier 'Collections': 'singletonList' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","de.codecentric.boot.admin.server.cloud.discovery","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server-cloud\src\test\java\de\codecentric\boot\admin\server\cloud\discovery\InstanceDiscoveryListenerTest.java","4","73","Unnecessary qualifier 'Collections': 'singletonList' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","de.codecentric.boot.admin.server.domain.values","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\domain\values\StatusInfo.java","4","139","Unnecessary qualifier 'StatusInfo': 'valueOf' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\EndpointMixin.java","3","29","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\EndpointsMixin.java","3","32","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceDeregisteredEventMixin.java","3","32","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceEndpointsDetectedEventMixin.java","3","34","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceEventMixin.java","3","44","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceInfoChangedEventMixin.java","3","33","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceRegisteredEventMixin.java","3","33","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceRegistrationUpdatedEventMixin.java","3","34","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.utils.jackson","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\utils\jackson\InstanceStatusChangedEventMixin.java","3","33","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.web.client","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\web\client\LegacyEndpointConverters.java","4","324","Unnecessary qualifier 'LegacyEndpointConverters': 'convertLiquibaseChangesets' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"2","de.codecentric.boot.admin.server.web.client","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\web\client\LegacyEndpointConverters.java","4","358","Unnecessary qualifier 'LegacyEndpointConverters': 'convertFlywayMigrations' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"3","de.codecentric.boot.admin.server.web.client","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\web\client\LegacyEndpointConverters.java","4","435","Unnecessary qualifier 'Collectors': 'toList' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"4","de.codecentric.boot.admin.server.web.client","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\web\client\LegacyEndpointConverters.java","4","478","Unnecessary qualifier 'Arrays': 'asList' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"5","de.codecentric.boot.admin.server.web.client","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\main\java\de\codecentric\boot\admin\server\web\client\LegacyEndpointConverters.java","4","487","Unnecessary qualifier 'Collectors': 'toList' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","de.codecentric.boot.admin.server","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\AbstractAdminApplicationTest.java","3","39","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.domain.entities","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\domain\entities\AbstractInstanceRepositoryTest.java","3","32","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
"1","de.codecentric.boot.admin.server.web","C:\User\arun\Assignment 2_summer\codecentric\spring-boot-admin\spring-boot-admin-server\src\test\java\de\codecentric\boot\admin\server\web\AbstractInstancesProxyControllerIntegrationTest.java","3","59","This abstract class does not have any abstract methods","Best Practices","AbstractClassWithoutAbstractMethod"
